ID,Suc_pra,Cen_jac,Achilea,Cirsium,Pim_sax,Ran_acr,Ran_fla,Ang_syl,Lat_pra,Plantago,Poaceae,Cre_bie,Her_sph,Lyc_eur,indet,Dau_car,Kna_arv,Lot_cor,Leo_his,Apiaceae,Tri_spp
24_11_8_Suc_B30_3,53,12,1,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B1_1,40,,,,,,,,,,,,,,,,2,,,,
24_12_8_Suc_B1_2,38,10,1,3,,,,,,,,,,,,,,,,,
24_12_8_Suc_B1_3,68,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B2_1,30,7,1,1,,,1,,,,,,,,,,,,,,
24_12_8_Suc_B2_2,22,2,2,1,,,1,,,,,,,,,,,,,,
24_12_8_Suc_B3_1,40,8,,1,,,,1,,,,,,,,,,,,,
24_12_8_Suc_B3_2,33,6,,1,,,,,,,,,,,,,,,,,
24_12_8_Suc_B3_3,49,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B4_1,12,17,3,1,,,,,,,,,,,,,,,,,
24_12_8_Suc_B4_2,37,3,,2,,,,,,,,,,,1,,,,,,
24_12_8_Suc_B4_3,27,2,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B5_1,49,3,2,,,,,,,,,,,,,1,,,,,
24_12_8_Suc_B5_2,43,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B5_3,55,2,1,,,,,,,,,,,,2,,,,,,
24_12_8_Suc_B6_1,26,4,1,,,1,,,,,,,,,,,,,,,
24_12_8_Suc_B6_2,15,3,1,,,,,,,,,,,,1,,,,,,
24_12_8_Suc_B6_3,1,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B7_1,6,5,2,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B7_2,16,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B7_3,9,1,,1,,,,,,,,,,,,,,,,,
24_12_8_Suc_B8_1,6,3,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B8_2,29,7,3,3,,,,,,,,,,,,,,,,,
24_12_8_Suc_B8_3,14,5,2,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B9_1,57,1,1,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B9_2,40,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B9_3,24,,,,,,,,,,,,,,2,,,,,,
24_12_8_Suc_B10_1,41,1,,,,,,,,,,,,,,,1,,,,
24_12_8_Suc_B10_2,47,3,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B10_3,52,3,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B11_1,8,1,2,,,,1,,,,,,,,,,,,,,
24_12_8_Suc_B11_2,19,,2,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B11_3,22,6,1,2,,,,,,,,,,,,,,,,,
24_12_8_Suc_B12_1,44,8,,1,,,,1,,,,,,,,,,,,,
24_12_8_Suc_B12_2,47,9,1,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B12_3,52,3,,2,,,,,,,,,,,,,,,,,
24_12_8_Suc_B13_1,63,6,3,1,,,,,,,,,,,,,,,,,
24_12_8_Suc_B13_2,31,4,1,,,,,,,,,,,,,,1,,,,
24_12_8_Suc_B13_3,52,16,,5,,,,,,,,,,,,,,,,,
24_12_8_Suc_B14_1,66,27,3,4,,,2,,,,,,,,3,,,,,,
24_12_8_Suc_B14_2,48,13,9,1,,,,,,,,,,,,,,,,,
24_12_8_Suc_B14_3,61,16,1,,,,,,,,,,,,7,,,,,,
24_12_8_Suc_B15_1,35,2,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B15_2,37,1,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B15_3,16,1,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B16_1,11,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B16_2,10,4,,1,,,1,,,,,,,,,,,,,,
24_12_8_Suc_B16_3,2,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B17_1,44,7,2,,,1,2,,,,,,,,,,,,,,
24_12_8_Suc_B17_2,33,11,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B17_3,29,3,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B18_1,0,0,0,0,,,,,,,,,,,,,,,,,
24_12_8_Suc_B18_2,24,4,2,1,,,2,,,,,,,,,,,,,,
24_12_8_Suc_B18_3,1,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B19_1,65,8,2,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B19_2,52,29,4,4,,,2,,,,,,,,,6,,,,,
24_12_8_Suc_B19_3,61,16,1,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B20_1,33,10,,,,,,,,,,,,,,,1,,,,
24_12_8_Suc_B20_2,37,6,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B20_3,24,7,4,,,,1,,,,,,,,1,,,,,,
24_12_8_Suc_B21_1,0,0,0,0,,,,,1,,,,,,,,,,,,
24_12_8_Suc_B21_2,10,1,,,,,,,,,,,,,2,,,,,,
24_12_8_Suc_B21_3,2,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B22_2,11,6,,,1,,,,,,,,,,,,,,,,
24_12_8_Suc_B22_3,10,7,2,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B23_1,4,,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B23_2,24,,1,1,,,,,,,,,,,,,1,,,,
24_12_8_Suc_B23_3,17,,1,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B24_1,51,1,,,,,,,,,,,,,1,,,,,,
24_12_8_Suc_B24_2,48,2,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B24_3,36,2,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B25_1,29,10,7,1,,,2,,,,,,,,2,,,,,,
24_12_8_Suc_B25_2,27,1,,,,,,,,,,,,,1,,,,,,
24_12_8_Suc_B25_3,13,14,3,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B26_1,0,0,0,0,,,,,,,,,,,,,,,,,
24_12_8_Suc_B26_2,0,0,0,0,,,,,,,,,,,,,,,,,
24_12_8_Suc_B26_3,0,0,0,0,,,,,,,,,,,,,,,,,
24_12_8_Suc_B27_1,51,4,,2,,,,,,,,,,,,,,,,,
24_12_8_Suc_B27_2,27,20,,,,,2,,,,,,,,,,,,,,
24_12_8_Suc_B27_3,27,23,4,3,,,,,,,,,,,,,,,,,
24_12_8_Suc_B28_1,0,0,0,0,,,,,,,,,,,,,,,,,
24_12_8_Suc_B28_2,1,3,1,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B28_3,0,0,0,0,,,,,,,,,,,,,,,,,
24_12_8_Suc_B29_1,3,1,1,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B29_2,15,8,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B29_3,1,0,0,0,,,,,,,,,,,,,,,,,
24_12_8_Suc_B30_1,21,5,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B30_2,60,4,,,,,,,,,,,,,,,,,,,
24_12_8_Suc_B30_3,17,7,4,2,,,,,,,,,,,,,,,,,
24_13_8_Suc_B1_1,32,2,,,,,,5,,,,,,,,,,,,,
24_13_8_Suc_B1_2,66,,,,,,,,,,,,,,2,,,,,,
24_13_8_Suc_B1_3,28,,,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B2_1,61,20,12,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B2_2,33,24,9,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B2_3,12,22,6,,,,3,,,,,,,,1,,,,,,
24_13_8_Suc_B3_1,31,,3,,,,,1,,,,,,,2,,,,,,
24_13_8_Suc_B3_2,63,,,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B4_1,1,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B4_2,0,0,0,0,,,,,,,,,,,,,,,,,
24_13_8_Suc_B4_3,47,22,13,1,,,,,,,,,,,4,,,,,,
24_13_8_Suc_B5_1,22,1,1,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B5_2,15,,1,,,,,,,,,,1,,,,,1,,,
24_13_8_Suc_B5_3,13,4,2,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B6_1,51,3,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B6_2,56,2,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B6_3,54,1,1,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B7_1,6,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B7_2,35,9,8,1,,,,,,,,1,,,13,,,,,,
24_13_8_Suc_B7_3,12,10,1,1,,,,,,,,,,,16,,,,,,
24_13_8_Suc_B8_1,2,5,1,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B8_2,40,2,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B8_3,23,4,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B9_1,37,8,9,,,,2,,,,,,,,5,,,,,,
24_13_8_Suc_B9_2,59,11,9,1,1,,1,,3,,,,3,,,,,,,,
24_13_8_Suc_B9_3,29,20,6,2,,,,,1,,,,5,,6,,,,,,
24_13_8_Suc_B10_1,49,2,1,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B10_2,45,2,,1,3,,,,,,,,,,2,,,,,,
24_13_8_Suc_B10_3,46,,3,3,,,2,,,,,,,,,,,,,,
24_13_8_Suc_B11_1,25,2,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B11_2,26,3,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B11_3,34,1,1,,,,1,,,,,,1,,,,,,,,
24_13_8_Suc_B12_1,6,1,,,,,4,,,,,,,,,,,,,,
24_13_8_Suc_B12_2,0,0,0,0,,,,,,,,,,,,,,,,,
24_13_8_Suc_B12_3,2,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B13_1,45,31,12,,1,,,,,,,,,,6,,,,1,,
24_13_8_Suc_B13_2,23,16,4,1,4,,1,,,,,,,,3,7,,,,,
24_13_8_Suc_B13_3,19,19,8,,,,,,,,,,,,1,,,,,,
24_13_8_Suc_B14_1,0,0,0,0,,,,,,,,,,,,,,,,,
24_13_8_Suc_B14_2,0,0,0,0,,,,,,,,,,,,,,,,,
